gid,pop2009,county,subcounty,ward,uid,scuid,cuid,voters,david_waih,george_waj,raila_odin,reuben_kig,william_ru
241,17431,ISIOLO,Isiolo Sub County,WABERA,rIdiIpv9fBt,I2LYLqKU6AW,bzOfj0iwfDH,,,,,,
1455,18755,Migori,Rongo Sub County,North Kamagambo Ward,QC41mItjIzF,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1456,27756,Migori,Rongo Sub County,Central Kamagambo Ward,M8rGveWTIMm,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1457,27179,Migori,Rongo Sub County,South Kamagambo Ward,DABObbHgPMX,fT37q3rXQ35,fVra3Pwta0Q,,,,,,
1458,22874,Migori,Awendo Sub County,North Sakwa Ward,EmSsP2C6A3h,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1459,36200,Migori,Awendo Sub County,South Sakwa Ward,OpbsijPbYuv,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1460,22278,Migori,Awendo Sub County,West Sakwa Ward,nLwQA56EFmD,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1461,27561,Migori,Awendo Sub County,Central Sakwa Ward,jmeydKjWYw7,ka9Uv3Ckcbd,fVra3Pwta0Q,,,,,,
1462,18567,Migori,Suna East Sub County,God Jope  Ward,Fp2Wuqu3GAI,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1463,27645,Migori,Suna East Sub County,Suna Central Ward,QAxizS8H0d7,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1464,33642,Migori,Suna East Sub County,Kakrao Ward,SUvzbKCIzyN,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1465,17267,Migori,Suna East Sub County,Kwa Ward,YKABD0bh2a7,nHEr5EciFh0,fVra3Pwta0Q,,,,,,
1466,24096,Migori,Suna West Sub County,Wiga Ward,kxIw7ZzqXPq,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1467,17952,Migori,Suna West Sub County,Waseweta Ii Ward,KwrilS23iAS,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
1468,32847,Migori,Suna West Sub County,Ragana-oruba Ward,PPEvdyHP6uZ,VtuwXD7O1O9,fVra3Pwta0Q,,,,,,
